timestamp;id;question;answer;latency_s;prompt_tokens;completion_tokens;total_tokens;top_k;sources
2025-11-12T12:36:46;Q16;Qual o tempo médio de entrega de um pedido? ;O tempo médio de entrega de um pedido é de 3 a 7 dias úteis.;1.213;923;21;944;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:36:48;Q17;Quais canais de venda a Tech Solutions oferece? ;A Tech Solutions Comércio e Serviços Ltda oferece os seguintes canais de venda:Loja Física- Loja Virtual - Marketplace - Telefone - WhatsApp;2.135;853;43;896;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:36:50;Q18;Qual o preço da Impressora Multifuncional Laser? ;O preço da Impressora Multifuncional Laser é de 1350.0.;1.798;997;18;1015;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:36:52;Q19;Quantas unidades do Drone 4K Pro estão disponíveis em estoque? ;Estão disponíveis 5.0 unidades do Drone 4K Pro em estoque.;1.246;1439;19;1458;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:36:53;Q20;Qual o preço do serviço de Backup em Nuvem? ;O preço do serviço de Backup em Nuvem é de 90.0.;1.732;948;17;965;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:36:55;Q21;Quais são as transportadoras parceiras da empresa? ;As transportadoras parceiras da empresa são Correios, Jadlog, Azul Cargo e Transportadora XPTO.;1.532;743;25;768;26;empresa.csv|produtos.csv
2025-11-12T12:36:56;Q22;Qual o preço do Monitor 27 Ultra HD? ;O preço do Monitor 27 Ultra HD é 1899.0.;1.375;1508;15;1523;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:36:57;Q23;Quantos Servidores Rack 2U estão disponíveis? ;Estoque: 8.0 unidades.;0.908;1058;9;1067;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:36:58;Q24;Qual o preço do Mouse Sem Fio MX?;O preço do Mouse Sem Fio MX é de 199.9.;1.046;978;15;993;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:37:00;Q25;Qual é o CNPJ da empresa? ;O CNPJ fictício da empresa é 12.345.678/0001-99.;1.612;739;20;759;26;empresa.csv|produtos.csv
2025-11-12T12:37:01;Q26;Qual o preço do serviço de Configuração de Firewall? ;O preço do serviço de Configuração de Firewall é 600.0.;0.952;1062;16;1078;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:37:04;Q27;Quais produtos estão na categoria Segurança? ;Os produtos na categoria Segurança são: 1. Extintor de Incêndio 4kg - 2. Alarme Residencial Completo- 3. Câmera de Segurança IP - 4. Fechadura Eletrônica Wi-Fi - 5. Controle de Acesso Biométrico;2.959;1207;67;1274;26;empresa.csv|produtos.csv
2025-11-12T12:37:05;Q28;Qual o preço do HD Externo 2TB? ;O preço do HD Externo 2TB é 540.0.;1.203;1425;16;1441;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:37:07;Q29;Quantas unidades da Placa de Vídeo RTX 4060 estão disponíveis? ;10.0 unidades da Placa de Vídeo RTX 4060 estão disponíveis.;1.485;1395;20;1415;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T12:37:08;Q30;Quais serviços têm preço sob consulta?;"O serviço ""Locação de Equipamentos"" tem preço sob consulta.";1.208;899;14;913;26;empresa.csv|produtos.csv|servicos.csv
