timestamp;engine;model;id;question;answer;latency_s;prompt_tokens;completion_tokens;total_tokens;top_k;sources
2025-11-12T13:16:40;gemini;gemini-2.5-flash;Q18;Qual o preço da Impressora Multifuncional Laser? ;preco: 1350.0;1.199;1048;46;1094;26;empresa.csv|produtos.csv
2025-11-12T13:16:41;gemini;gemini-2.5-flash;Q19;Quantas unidades do Drone 4K Pro estão disponíveis em estoque? ;5.0 unidades.;1.93;1358;137;1495;26;produtos.csv
2025-11-12T13:16:43;gemini;gemini-2.5-flash;Q20;Qual o preço do serviço de Backup em Nuvem? ;90.0;1.223;988;66;1054;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:45;gemini;gemini-2.5-flash;Q21;Quais são as transportadoras parceiras da empresa? ;Transportadoras Parceiras: Correios -  Jadlog - Azul Cargo -  Transportadora XPTO;2.286;733;90;823;26;empresa.csv|produtos.csv
2025-11-12T13:16:48;gemini;gemini-2.5-flash;Q22;Qual o preço do Monitor 27 Ultra HD? ;O preço do Monitor 27 Ultra HD é 1899.0.;2.976;1300;181;1481;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:50;gemini;gemini-2.5-flash;Q23;Quantos Servidores Rack 2U estão disponíveis? ;estoque: 8.0;1.747;1141;49;1190;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:51;gemini;gemini-2.5-flash;Q24;Qual o preço do Mouse Sem Fio MX?;preco: 199.9;1.031;1018;49;1067;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:16:55;gemini;gemini-2.5-flash;Q25;Qual é o CNPJ da empresa? ;CNPJ Fictício: 12.345.678/0001-99;3.517;730;67;797;26;empresa.csv|produtos.csv
2025-11-12T13:16:59;gemini;gemini-2.5-flash;Q26;Qual o preço do serviço de Configuração de Firewall? ;600.0;4.594;1127;63;1190;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:17:09;gemini;gemini-2.5-flash;Q27;Quais produtos estão na categoria Segurança? ;Extintor de Incendio 4kg - Camera de Segurança IP - Alarme Residencial Completo-  Controle de Acesso Biom�trico -Fechadura Eletronica Wi-Fi;9.246;1297;170;1467;26;empresa.csv|produtos.csv
2025-11-12T13:17:19;gemini;gemini-2.5-flash;Q28;Qual o preço do HD Externo 2TB? ;O preço do HD Externo 2TB é 540.0.;1.642;1352;54;1406;26;empresa.csv|produtos.csv
2025-11-12T13:17:20;gemini;gemini-2.5-flash;Q29;Quantas unidades da Placa de Vídeo RTX 4060 estão disponíveis? ;estoque: 10.0;0.905;1178;54;1232;26;empresa.csv|produtos.csv|servicos.csv
2025-11-12T13:17:22;gemini;gemini-2.5-flash;Q30;Quais serviços têm preço sob consulta?;Locação de Equipamentos;1.289;964;45;1009;26;empresa.csv|produtos.csv|servicos.csv
