timestamp,id,question,answer,latency_s,prompt_tokens,completion_tokens,total_tokens,top_k,sources
2025-12-03T19:13:29,,Quais são as transportadoras parceiras da empresa? ,Correios; Jadlog; Azul Cargo; Transportadora XPTO,0.482,743,16,759,26,empresa.csv|produtos.csv
2025-12-03T19:13:30,,Qual o preço do Monitor 27 Ultra HD? ,O preço do Monitor 27 Ultra HD é 1899.0.,0.632,1508,15,1523,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:30,,Quantos Servidores Rack 2U estão disponíveis? ,Há 8 Servidores Rack 2U disponíveis em estoque.,0.465,1058,16,1074,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:31,,Qual o preço do Mouse Sem Fio MX?,O preço do Mouse Sem Fio MX é 199.9.,0.51,978,14,992,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:32,,Qual é o CNPJ da empresa? ,O CNPJ da empresa é 12.345.678/0001-99.,0.606,739,18,757,26,empresa.csv|produtos.csv
2025-12-03T19:13:33,,Qual o preço do serviço de Configuração de Firewall? ,O preço do serviço de Configuração de Firewall é 600.0.,1.031,1062,16,1078,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:34,,Quais produtos estão na categoria Segurança? ,"- Fechadura Eletrônica Wi-Fi
- Extintor de Incêndio 4kg
- Câmera de Segurança IP
- Alarme Residencial Completo
- Controle de Acesso Biométrico",0.922,1207,54,1261,26,empresa.csv|produtos.csv
2025-12-03T19:13:34,,Qual o preço do HD Externo 2TB? ,O preço do HD Externo 2TB é 540.0.,0.603,1425,16,1441,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:35,,Quantas unidades da Placa de Vídeo RTX 4060 estão disponíveis? ,A Placa de Vídeo RTX 4060 possui 10 unidades disponíveis em estoque.,0.58,1395,22,1417,26,empresa.csv|produtos.csv|servicos.csv
2025-12-03T19:13:35,,Quais serviços têm preço sob consulta?,Locação de Equipamentos.,0.386,899,6,905,26,empresa.csv|produtos.csv|servicos.csv
